"","PLOT","SUBPLOT","SESSION","Log copies final","Common","Species","Family","Group","LeafHabit","MycoType","Wood Anatomy","Sap Flow","YYYYMMDD","Date","DATE","Year","Temp1_7d_avg","Moisture1_7d_avg","PLOT_G.spp"
"1","QUAL","1",1,10.111489824336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-04-11,"April 10-12, 2023",2023-04-11,2023,7.318,0.2131,"Q. alba"
"2","QUAL","2",1,9.18154955433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-04-11,"April 10-12, 2023",2023-04-11,2023,7.318,0.2131,"Q. alba"
"3","QUAL","3",1,9.71198459433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-04-11,"April 10-12, 2023",2023-04-11,2023,7.318,0.2131,"Q. alba"
"4","QUAL","4",1,10.035820224336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-04-11,"April 10-12, 2023",2023-04-11,2023,7.318,0.2131,"Q. alba"
"5","QUAL","5",1,9.28410941433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-04-11,"April 10-12, 2023",2023-04-11,2023,7.318,0.2131,"Q. alba"
"6","QUAL","6",1,9.46872626433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-04-11,"April 10-12, 2023",2023-04-11,2023,7.318,0.2131,"Q. alba"
"7","QUAL","1",2,9.59026010433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-05-19,"May 18-19 2023",2023-05-19,2023,12.074,0.118,"Q. alba"
"8","QUAL","2",2,9.30758027433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-05-19,"May 18-19 2023",2023-05-19,2023,12.074,0.118,"Q. alba"
"9","QUAL","3",2,10.069837314336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-05-19,"May 18-19 2023",2023-05-19,2023,12.074,0.118,"Q. alba"
"10","QUAL","4",2,10.454170324336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-05-19,"May 18-19 2023",2023-05-19,2023,12.074,0.118,"Q. alba"
"11","QUAL","5",2,9.27112782433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-05-19,"May 18-19 2023",2023-05-19,2023,12.074,0.118,"Q. alba"
"12","QUAL","6",2,10.252577644336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-05-19,"May 18-19 2023",2023-05-19,2023,12.074,0.118,"Q. alba"
"13","QUAL","1",3,9.17211791433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-06-07,"June 6-7 2023",2023-06-07,2023,16.415,0.1042,"Q. alba"
"14","QUAL","2",3,9.48560288433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-06-07,"June 6-7 2023",2023-06-07,2023,16.415,0.1042,"Q. alba"
"15","QUAL","3",3,10.611728524336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-06-07,"June 6-7 2023",2023-06-07,2023,16.415,0.1042,"Q. alba"
"16","QUAL","4",3,10.792308484336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-06-07,"June 6-7 2023",2023-06-07,2023,16.415,0.1042,"Q. alba"
"17","QUAL","5",3,9.63301504433602,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-06-07,"June 6-7 2023",2023-06-07,2023,16.415,0.1042,"Q. alba"
"18","QUAL","6",3,10.185436879336,"White Oak","Quercus alba","Fagaceae","Angio","Deciduous","EM","Ring","No",2023-06-07,"June 6-7 2023",2023-06-07,2023,16.415,0.1042,"Q. alba"
