"","PLOT_G.spp","YYYYMMDD","PLOT","SESSION","SUBPLOT","Moisture1_7d_avg","Temp1_7d_avg","abund_sum_prop"
"1","Q. bicolor",2023-04-11,"QUBI",1,1,0.21275,7.3305,0.10678735846709
"2","Q. bicolor",2023-04-11,"QUBI",1,2,0.21275,7.3305,0.0124269005847953
"3","Q. bicolor",2023-04-11,"QUBI",1,3,0.21275,7.3305,0.135949359213637
"4","Q. bicolor",2023-04-11,"QUBI",1,4,0.21275,7.3305,0.0744991912405126
"5","Q. bicolor",2023-04-11,"QUBI",1,5,0.21275,7.3305,0.0116181410974244
"6","Q. bicolor",2023-04-11,"QUBI",1,6,0.21275,7.3305,0.0619634191862635
"7","Q. bicolor",2023-05-19,"QUBI",2,1,0.118,12.074,0.108703496553964
"8","Q. bicolor",2023-05-19,"QUBI",2,2,0.118,12.074,0.133294843575217
"9","Q. bicolor",2023-05-19,"QUBI",2,3,0.118,12.074,0.0436076931404034
"10","Q. bicolor",2023-05-19,"QUBI",2,4,0.118,12.074,0.0823801104174936
"11","Q. bicolor",2023-05-19,"QUBI",2,5,0.118,12.074,0.00689207231263306
"12","Q. bicolor",2023-05-19,"QUBI",2,6,0.118,12.074,0.0464583408508642
"13","Q. bicolor",2023-06-07,"QUBI",3,1,0.1042,16.415,0.120197652872143
"14","Q. bicolor",2023-06-07,"QUBI",3,2,0.1042,16.415,0.127655960469426
"15","Q. bicolor",2023-06-07,"QUBI",3,3,0.1042,16.415,0.0344039530574429
"16","Q. bicolor",2023-06-07,"QUBI",3,4,0.1042,16.415,0.141182828906733
"17","Q. bicolor",2023-06-07,"QUBI",3,5,0.1042,16.415,0.00457072266831377
"18","Q. bicolor",2023-06-07,"QUBI",3,6,0.1042,16.415,0.0543082149474985
"19","Q. bicolor",2023-06-30,"QUBI",4,1,0.0954,18.295,0.102267233578361
"20","Q. bicolor",2023-06-30,"QUBI",4,2,0.0954,18.295,0.130678930470677
"21","Q. bicolor",2023-06-30,"QUBI",4,3,0.0954,18.295,0.0143050166726581
"22","Q. bicolor",2023-06-30,"QUBI",4,4,0.0954,18.295,0.040844913289782
"23","Q. bicolor",2023-06-30,"QUBI",NA,5,NA,NA,0.00633437046770215
"24","Q. bicolor",2023-06-30,"QUBI",4,6,0.0954,18.295,0.062488378723457
"25","Q. bicolor",2023-07-21,"QUBI",5,1,0.1339,19.817,0.080947143860393
"26","Q. bicolor",2023-07-21,"QUBI",5,2,0.1339,19.817,0.0995640594151241
"27","Q. bicolor",2023-07-21,"QUBI",5,3,0.1339,19.817,0.00438590679616796
"28","Q. bicolor",2023-07-21,"QUBI",5,4,0.1339,19.817,0.110416197379056
"29","Q. bicolor",2023-07-21,"QUBI",5,5,0.1339,19.817,0.00335236984722204
"30","Q. bicolor",2023-07-21,"QUBI",5,6,0.1339,19.817,0.060779922882243
"31","Q. bicolor",2023-08-24,"QUBI",6,1,0.1506,20.043,0.134017876649221
"32","Q. bicolor",2023-08-24,"QUBI",6,1,0.1506,20.043,0.134017876649221
"33","Q. bicolor",2023-08-24,"QUBI",6,2,0.1506,20.043,0.112598193337576
"34","Q. bicolor",2023-08-24,"QUBI",6,3,0.1506,20.043,0.00499634298089801
"35","Q. bicolor",2023-08-24,"QUBI",6,4,0.1506,20.043,0.0331506406907492
"36","Q. bicolor",2023-08-24,"QUBI",6,5,0.1506,20.043,0.00167178016090884
"37","Q. bicolor",2023-08-24,"QUBI",6,6,0.1506,20.043,0.0684195028353771
"38","Q. bicolor",2023-09-21,"QUBI",7,2,0.1564,15.557,0.104183757178015
"39","Q. bicolor",2023-09-21,"QUBI",7,3,0.1564,15.557,0.0199418301141025
"40","Q. bicolor",2023-09-21,"QUBI",NA,4,NA,NA,0.0337087031098516
"41","Q. bicolor",2023-09-21,"QUBI",7,5,0.1564,15.557,0.00293832500559326
"42","Q. bicolor",2023-09-21,"QUBI",7,6,0.1564,15.557,0.0435379222909986
"43","Q. bicolor",2023-11-01,"QUBI",8,1,0.147,11.783,0.0828483313933256
"44","Q. bicolor",2023-11-01,"QUBI",8,2,0.147,11.783,0.1499765999064
"45","Q. bicolor",2023-11-01,"QUBI",8,3,0.147,11.783,0.0601562406249625
"46","Q. bicolor",2023-11-01,"QUBI",8,4,0.147,11.783,0.0406321625286501
"47","Q. bicolor",2023-11-01,"QUBI",8,5,0.147,11.783,0.00291601166404666
"48","Q. bicolor",2023-11-01,"QUBI",NA,6,NA,NA,0.0723482893931576
"49","Q. bicolor",2023-12-07,"QUBI",9,1,0.1906,4.428,0.0698028782198573
"50","Q. bicolor",2023-12-07,"QUBI",9,2,0.1906,4.428,0.136630789696457
"51","Q. bicolor",2023-12-07,"QUBI",9,3,0.1906,4.428,0.0173539726690047
"52","Q. bicolor",2023-12-07,"QUBI",9,4,0.1906,4.428,0.0858991413713871
"53","Q. bicolor",2023-12-07,"QUBI",9,5,0.1906,4.428,0.00228564518079574
"54","Q. bicolor",2023-12-07,"QUBI",9,6,0.1906,4.428,0.0427016567904221
