"","PLOT_G.spp","YYYYMMDD","PLOT","SESSION","SUBPLOT","Moisture1_7d_avg","Temp1_7d_avg","abund_sum_prop"
"1","Q. bicolor",2023-04-11,"QUBI",1,1,0.21275,7.3305,7.77653353241259e-05
"2","Q. bicolor",2023-04-11,"QUBI",1,2,0.21275,7.3305,7.77653353241259e-05
"3","Q. bicolor",2023-04-11,"QUBI",1,3,0.21275,7.3305,7.77653353241259e-05
"4","Q. bicolor",2023-04-11,"QUBI",1,4,0.21275,7.3305,7.77653353241259e-05
"5","Q. bicolor",2023-04-11,"QUBI",1,5,0.21275,7.3305,7.77653353241259e-05
"6","Q. bicolor",2023-04-11,"QUBI",1,6,0.21275,7.3305,7.77653353241259e-05
"7","Q. bicolor",2023-05-19,"QUBI",2,1,0.118,12.074,9.02103705842024e-05
"8","Q. bicolor",2023-05-19,"QUBI",2,2,0.118,12.074,9.02103705842024e-05
"9","Q. bicolor",2023-05-19,"QUBI",2,3,0.118,12.074,9.02103705842024e-05
"10","Q. bicolor",2023-05-19,"QUBI",2,4,0.118,12.074,9.02103705842024e-05
"11","Q. bicolor",2023-05-19,"QUBI",2,5,0.118,12.074,0.000108252444701043
"12","Q. bicolor",2023-05-19,"QUBI",2,6,0.118,12.074,9.02103705842024e-05
"13","Q. bicolor",2023-06-07,"QUBI",3,1,0.1042,16.415,7.72081531809759e-05
"14","Q. bicolor",2023-06-07,"QUBI",3,2,0.1042,16.415,7.72081531809759e-05
"15","Q. bicolor",2023-06-07,"QUBI",3,3,0.1042,16.415,7.72081531809759e-05
"16","Q. bicolor",2023-06-07,"QUBI",3,4,0.1042,16.415,7.72081531809759e-05
"17","Q. bicolor",2023-06-07,"QUBI",3,5,0.1042,16.415,7.72081531809759e-05
"18","Q. bicolor",2023-06-07,"QUBI",3,6,0.1042,16.415,7.72081531809759e-05
"19","Q. bicolor",2023-06-30,"QUBI",4,1,0.0954,18.295,6.19801415626433e-05
"20","Q. bicolor",2023-06-30,"QUBI",4,2,0.0954,18.295,6.19801415626433e-05
"21","Q. bicolor",2023-06-30,"QUBI",4,3,0.0954,18.295,6.19801415626433e-05
"22","Q. bicolor",2023-06-30,"QUBI",4,4,0.0954,18.295,6.19801415626433e-05
"23","Q. bicolor",2023-06-30,"QUBI",NA,5,NA,NA,6.19801415626433e-05
"24","Q. bicolor",2023-06-30,"QUBI",4,6,0.0954,18.295,6.19801415626433e-05
"25","Q. bicolor",2023-07-21,"QUBI",5,1,0.1339,19.817,6.62523685221747e-05
"26","Q. bicolor",2023-07-21,"QUBI",5,2,0.1339,19.817,6.62523685221747e-05
"27","Q. bicolor",2023-07-21,"QUBI",5,3,0.1339,19.817,6.62523685221747e-05
"28","Q. bicolor",2023-07-21,"QUBI",5,4,0.1339,19.817,6.62523685221747e-05
"29","Q. bicolor",2023-07-21,"QUBI",5,5,0.1339,19.817,6.62523685221747e-05
"30","Q. bicolor",2023-07-21,"QUBI",5,6,0.1339,19.817,6.62523685221747e-05
"31","Q. bicolor",2023-08-24,"QUBI",6,1,0.1506,20.043,0.000142481263713822
"32","Q. bicolor",2023-08-24,"QUBI",6,1,0.1506,20.043,0.000142481263713822
"33","Q. bicolor",2023-08-24,"QUBI",6,2,0.1506,20.043,4.74937545712739e-05
"34","Q. bicolor",2023-08-24,"QUBI",6,3,0.1506,20.043,4.74937545712739e-05
"35","Q. bicolor",2023-08-24,"QUBI",6,4,0.1506,20.043,4.74937545712739e-05
"36","Q. bicolor",2023-08-24,"QUBI",6,5,0.1506,20.043,4.74937545712739e-05
"37","Q. bicolor",2023-08-24,"QUBI",6,6,0.1506,20.043,4.74937545712739e-05
"38","Q. bicolor",2023-09-21,"QUBI",7,2,0.1564,15.557,7.45767767917071e-05
"39","Q. bicolor",2023-09-21,"QUBI",7,3,0.1564,15.557,7.45767767917071e-05
"40","Q. bicolor",2023-09-21,"QUBI",NA,4,NA,NA,7.45767767917071e-05
"41","Q. bicolor",2023-09-21,"QUBI",7,5,0.1564,15.557,7.45767767917071e-05
"42","Q. bicolor",2023-09-21,"QUBI",7,6,0.1564,15.557,7.45767767917071e-05
"43","Q. bicolor",2023-11-01,"QUBI",8,1,0.147,11.783,6.000024000096e-05
"44","Q. bicolor",2023-11-01,"QUBI",8,2,0.147,11.783,6.000024000096e-05
"45","Q. bicolor",2023-11-01,"QUBI",8,3,0.147,11.783,6.000024000096e-05
"46","Q. bicolor",2023-11-01,"QUBI",8,4,0.147,11.783,6.000024000096e-05
"47","Q. bicolor",2023-11-01,"QUBI",8,5,0.147,11.783,6.000024000096e-05
"48","Q. bicolor",2023-11-01,"QUBI",NA,6,NA,NA,6.000024000096e-05
"49","Q. bicolor",2023-12-07,"QUBI",9,1,0.1906,4.428,6.04668037247551e-05
"50","Q. bicolor",2023-12-07,"QUBI",9,2,0.1906,4.428,6.04668037247551e-05
"51","Q. bicolor",2023-12-07,"QUBI",9,3,0.1906,4.428,6.04668037247551e-05
"52","Q. bicolor",2023-12-07,"QUBI",9,4,0.1906,4.428,6.04668037247551e-05
"53","Q. bicolor",2023-12-07,"QUBI",9,5,0.1906,4.428,6.04668037247551e-05
"54","Q. bicolor",2023-12-07,"QUBI",9,6,0.1906,4.428,6.04668037247551e-05
